sample,Type,Pgmname,OID,Source,Population,TTL1,TTL2,TTL3,BYLINE1,BYLINE2,BOOKM,FOOT1,FOOT2,FOOT3,FOOT4,FOOT5,FOOT6,FOOT7,FOOT8
Column ignored. Example row. May be safely deleted.,,tfl_example,,ADSL,ITT,Table x.x,Demographic Data,,,,,Footnotes,Reference: Listing 2.1.1,,,,,,
,Table,t_disp,a,ADSL,Safety Population,Table 1.1,Disposition and Reason for No Information Available,,,,,Note that TK0102 was formerly known as and reported as MT-1621-102.,Reference: Listing 1.1,,,,,,
,,t_dm,a,palmerpenguins,Penguin Population,Table 2.1,Sample Table with Penguin Data,Test Subtitle,,,,ES = Enrolled Set,Reference: Listing 2.1,[2] Percentages are calculated using N1 as the denominator. A participant will be counted once and only once in each category if at least one family member falls into the category. Percentages may sum up to more than 100% as a participant may have multiple family members diagnosed with TK2d included in the clinical development program.,"[3] Familial relationship is only summarized for family members diagnosed with TK2d who had an answer of """"Yes"""" for whether the family member is included in the clinical development program. ",Further footnote5.,,,
,,t_fr,a,ADSL,Safety Population,Table 2.2,Familial Relationship,,,,,"EAP = Expanded Access Program, ES = Enrolled Set, TK2d = Thymidine Kinase 2 deficiency.","[1] Participants with at least one family member diagnosed with TK2d included in the clinical development program are counted in """"Yes""""(N1). Participants without any family member diagnosed with TK2d included in the clinical development program are counted in """"No"""". Otherwise, participants are counted in """"Unknown"""".",[2] Percentages are calculated using N1 as the denominator. A participant will be counted once and only once in each category if at least one family member falls into the category. Percentages may sum up to more than 100% as a participant may have multiple family members diagnosed with TK2d included in the clinical development program.,"[3] Familial relationship is only summarized for family members diagnosed with TK2d who had an answer of """"Yes"""" for whether the family member is included in the clinical development program. ",Note that TK0102 was formerly known as and reported as MT-1621-102.,Reference: Listing 2.2,,
,,f_sample,a,MPG,Sample Population,Figure 1.1,Gas Mileage vs. Displ,,,,,Sample footnote 1,Reference: sample,,,,,,
,,l_disp,a,ADSL,Safety Population,Listing 1.1,Participant Disposition,,,,,,,,,,,,
,,l_dem,a,ADSL,Safety Population,Listing 2.1,Demographics,,,,,"ES = Enrolled Set, TK2d = Thymidine Kinase 2 deficiency.",,,,,,,
,,l_fam,a,ADSL,Safety Population,Listing 2.2,Familial Relationship,,,,,"ES = Enrolled Set, TK2d = Thymidine Kinase 2 deficiency.",Note that TK0102 was formerly known as and reported as MT-1621-102.,,,,,,
,,l_pd,a,ADSL,Safety Population,Listing 3.1,Important Protocol Deviations,,,,,ES = Enrolled Set.,,,,,,,
,Table,t_dm_m,a,Iris,Iris Population,Table 3.1,Sample Table with Iris Data,Test Subtitle to Show Example,,,,ES = Enrolled Set,Reference: Listing 2.1,[2] Percentages are calculated using N1 as the denominator. A participant will be counted once and only once in each category if at least one family member falls into the category. Percentages may sum up to more than 100% as a participant may have multiple family members diagnosed with TK2d included in the clinical development program.,"[3] Familial relationship is only summarized for family members diagnosed with TK2d who had an answer of """"Yes"""" for whether the family member is included in the clinical development program. ",Further footnote5.,,,
